candidate,MonthId,Label,OneMonthBefore,NumTweets_FullMonth,NormalizedNumTweets_FullMonth,NumTweetsText_FullMonth,NormalizedNumTweetsText_FullMonth,NumTweetsTitle_FullMonth,NormalizedNumTweetsTitle_FullMonth,NumTweetsVerified_FullMonth,NormalizedNumTweetsVerified_FullMonth,NumTweets_HalfMonth,NormalizedNumTweets_HalfMonth,NumTweetsText_HalfMonth,NormalizedNumTweetsText_HalfMonth,NumTweetsTitle_HalfMonth,NormalizedNumTweetsTitle_HalfMonth,NumTweetsVerified_HalfMonth,NormalizedNumTweetsVerified_HalfMonth,NumTweets_LastWeek,NormalizedNumTweets_LastWeek,NumTweetsText_LastWeek,NormalizedNumTweetsText_LastWeek,NumTweetsTitle_LastWeek,NormalizedNumTweetsTitle_LastWeek,NumTweetsVerified_LastWeek,NormalizedNumTweetsVerified_LastWeek
job posting,201305,136084,135885,456539,0.000246296,282453,0.000152379,174086,9.39E-05,5444,2.94E-06,233418,0.000244551,145938,0.000152898,87480,9.17E-05,2286,2.40E-06,116536,0.000243282,71564,0.000149398,44972,9.39E-05,1108,2.31E-06
job posting,201306,136285,136084,369638,0.000208959,258097,0.000145904,111541,6.31E-05,5083,2.87E-06,166524,0.000188456,122652,0.000138806,43872,4.97E-05,2970,3.36E-06,81994,0.00019824,60042,0.000145166,21952,5.31E-05,1829,4.42E-06
job posting,201307,136434,136285,382539,0.000207738,282957,0.00015366,99582,5.41E-05,6052,3.29E-06,206877,0.000214695,151098,0.000156808,55779,5.79E-05,3604,3.74E-06,109002,0.000226031,80786,0.000167521,28216,5.85E-05,2002,4.15E-06
job posting,201308,136636,136434,412263,0.000219752,314727,0.000167762,97536,5.20E-05,8356,4.45E-06,214241,0.000221167,161988,0.000167225,52253,5.39E-05,4568,4.72E-06,95679,0.000197686,70947,0.000146586,24732,5.11E-05,2100,4.34E-06
job posting,201309,136800,136636,414195,0.000231587,297096,0.000166114,117099,6.55E-05,11822,6.61E-06,209083,0.00023961,148533,0.000170219,60550,6.94E-05,5798,6.64E-06,90090,0.000228376,63288,0.000160434,26802,6.79E-05,2041,5.17E-06
job posting,201310,137037,136800,358201,0.000238386,248299,0.000165245,109902,7.31E-05,9434,6.28E-06,189228,0.000244788,133689,0.000172942,55539,7.18E-05,4858,6.28E-06,93500,0.00024151,65970,0.0001704,27530,7.11E-05,2330,6.02E-06
job posting,201311,137311,137037,401629,0.000280779,315139,0.000220314,86490,6.05E-05,9192,6.43E-06,193683,0.000270932,150720,0.000210833,42963,6.01E-05,4285,5.99E-06,81349,0.000242145,62983,0.000187476,18366,5.47E-05,1220,3.63E-06
job posting,201312,137395,137311,380686,0.000262257,299162,0.000206094,81524,5.62E-05,8022,5.53E-06,176646,0.000237245,137979,0.000185313,38667,5.19E-05,3754,5.04E-06,76216,0.000201945,59666,0.000158093,16550,4.39E-05,1660,4.40E-06
job posting,201401,137539,137395,437578,0.000295352,328232,0.000221546,109346,7.38E-05,13105,8.85E-06,213377,0.000277884,156776,0.000204172,56601,7.37E-05,6612,8.61E-06,105536,0.000274576,78307,0.000203733,27229,7.08E-05,2615,6.80E-06
job posting,201402,137761,137539,381882,0.000294964,290330,0.00022425,91552,7.07E-05,11983,9.26E-06,189987,0.000322114,143268,0.000242904,46719,7.92E-05,6379,1.08E-05,78230,0.000348497,59187,0.000263665,19043,8.48E-05,2221,9.89E-06
job posting,201403,137964,137761,512538,0.00036511,364485,0.000259643,148053,0.000105467,12035,8.57E-06,282918,0.000388317,189436,0.000260009,93482,0.000128308,6765,9.29E-06,143214,0.000395312,95897,0.000264703,47317,0.000130609,3785,1.04E-05
job posting,201404,138268,137964,503087,0.000380429,343919,0.000260068,159168,0.000120361,13063,9.88E-06,246823,0.000371471,169442,0.000255012,77381,0.000116459,6092,9.17E-06,116201,0.000376478,80304,0.000260176,35897,0.000116302,2251,7.29E-06
job posting,201405,138492,138268,522077,0.000393707,360930,0.000272183,161147,0.000121524,14950,1.13E-05,268118,0.000393903,187602,0.000275614,80516,0.000118289,8532,1.25E-05,125254,0.000365619,85807,0.000250472,39447,0.000115147,4692,1.37E-05
job posting,201406,138780,138492,608041,0.000358078,424324,0.000249886,183717,0.000108192,15143,8.92E-06,299463,0.000357308,204100,0.000243525,95363,0.000113784,7017,8.37E-06,137542,0.000361469,92549,0.000243224,44993,0.000118244,3036,7.98E-06
