SectorID	SectorName	IndustryID	IndustryName	JobName	JobNumbers	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms
56	Administrative and Support and Waste Management and Remediation Services	561600	Investigation and Security Services	Security Guards	"626,690"	Watchman	Watchguard	Truck Guard	Transportation Security Screener	Timber Watchman	Surveillance Officer	Store Detective	Station Gateman	Special Police	Special Officer
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	623100	Nursing Care Facilities (Skilled Nursing Facilities)	Nursing Assistants	"622,850"	Ward Helper	Ward Attendant	Ward Aide	Surgical Aide	Student Nurse	State Tested Nursing Assistant (STNA)	Practical Nurse	Patient Sitter	Patient Care Associate	Nursing Technician
61	"Educational Services (including private, state, and local government schools)"	611100	"Elementary and Secondary Schools (including private, state, and local government schools)"	"Middle School Teachers, Except Special and Career/Technical Education"	"617,280"	World History Teacher	World Geography Teacher	Vocal Music Instructor	Visual Arts Teacher	Technology Teacher	Teacher	Substitute Teacher	Special Education Teacher	Spanish Teacher	Social Studies Teacher
72	Accommodation and Food Services	722500	Restaurants and Other Eating Places	First-Line Supervisors of Food Preparation and Serving Workers	"601,170"	"Waiter/Waitress, Captain"	Tea Room Manager	"Supervisor, Diet, Kitchen"	Supervisor of Food and Nutrition Services	Supervisor	Store Manager	Steward/Stewardess	Sous Chef	Soda Fountain Manager	Snack Bar Manager
61	"Educational Services (including private, state, and local government schools)"	611100	"Elementary and Secondary Schools (including private, state, and local government schools)"	Substitute Teachers	"587,240"	Visiting Teacher	Tutor	Substitute Teacher	Special Education Teacher for Adults with Disabilities	Special Education Preschool Teacher	Link Trainer Operator	Lecturer	Human Resource Managment Instructor	Extension Work Instructor	Environmental Educator
48-49	Transportation and Warehousing	484100	General Freight Trucking	Heavy and Tractor-Trailer Truck Drivers	"577,090"	Yard Spotter	Wrecking Car Driver	Wrecker Operator	Wrecker Driver	Water Truck Driver	Waste Collection Driver	Van Driver	UPS Driver (United Parcel Service Driver)	Truck Switcher	Truck Jumper
44-45	Retail Trade	447100	Gasoline Stations	Cashiers	"563,330"	Ticket Seller	Ticket Dispatcher	Ticket Clerk	Ticket Agent	Teller	Store Clerk Checker	Store Clerk Cashier	Station Cashier	Snack Bar Cashier	Sheet Writer
99	"Federal, State, and Local Government (OES Designation)"	999300	"Local Government, excluding schools and hospitals (OES Designation)"	Police and Sheriff's Patrol Officers	"542,450"	State Trooper	State Highway Police Officer	Policewoman	Policeman	Patrol Officer	Park Police	Mounted Police	Motorcycle Police	Highway Patrol Officer	Deputy Sheriff
44-45	Retail Trade	452100	Department Stores	Retail Salespersons	"524,580"	Yard Goods Salesperson	Women's Apparel Salesperson	Women's Apparel and Accessories Salesperson	Wigs Salesperson	Wig Sales Consultant	Wardrobe Image Consultant	Wallpaper Consultant	Vendette	Used Car Salesperson	Trailers and Motor Homes Salesperson
72	Accommodation and Food Services	722500	Restaurants and Other Eating Places	"Cooks, Fast Food"	"484,240"	Specialty Cook	Restaurant Worker	Prep Cook	Pizza Maker	Pizza Cook	Pizza Chef	Pizza Baker	Line Cook	Grill Cook	Fryline Attendant
52	Finance and Insurance	522100	Depository Credit Intermediation	Tellers	"482,910"	Vault Teller	Utility Teller	Universal Banker	Teller Coordinator	Teller	Securities Teller	Savings Teller	Roving Teller	Receiving Teller	Personal Banking Representative
56	Administrative and Support and Waste Management and Remediation Services	561700	Services to Buildings and Dwellings	Landscaping and Groundskeeping Workers	"463,610"	Yardman	Yard Worker	Yard Person	Yard Laborer	Weeder	Weed Thinner	Weed Cutter	Weed Controller	Weed Burner	Utility Worker
44-45	Retail Trade	445100	Grocery Stores	Stock Clerks and Order Fillers	"449,270"	Warehouse Stocker	Warehouse Clerk	Tool Crib Attendant	Supply Room Clerk	Supply Clerk	Store Stocker	Stockroom Clerk	Stockroom Attendant	Retail Stocker	Night Stocker
56	Administrative and Support and Waste Management and Remediation Services	561300	Employment Services	"Laborers and Freight, Stock, and Material Movers, Hand"	"447,180"	Yeast Pusher	Yardman	Yard Person	Yard Laborer	Yard Cleaner	Wrecker	Wood Sawyer	Wood Cutter	Wood Chopper	Wheeler
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	624100	Individual and Family Services	Personal Care Aides	"440,790"	Support Staff	State Tested Nursing Assistant (STNA)	Sitter	Resident Care Assistant (RCA)	Resident Assistant	Provider	Personal Support Worker	Personal Care Attendant (PCA)	Personal Care Assistant (PCA)	Personal Care Aide
72	Accommodation and Food Services	721100	Traveler Accommodation	Maids and Housekeeping Cleaners	"428,910"	Ward Maid	Visiting Housekeeper	Upstairs Maid	Shower Maid	Service Cleaner	Senior Housekeeper	Section Housekeeper	Second Butler	Room Maid	Room Cleaner
44-45	Retail Trade	452900	Other General Merchandise Stores	Retail Salespersons	"424,040"	Yard Goods Salesperson	Women's Apparel Salesperson	Women's Apparel and Accessories Salesperson	Wigs Salesperson	Wig Sales Consultant	Wardrobe Image Consultant	Wallpaper Consultant	Vendette	Used Car Salesperson	Trailers and Motor Homes Salesperson
72	Accommodation and Food Services	722500	Restaurants and Other Eating Places	Food Preparation Workers	"414,970"	Slicer	Seafood Preparer	Sandwich Maker	Sandwich Artist	Salad Maker	Restaurant Worker	Raw Shellfish Preparer	Prep Cook (Preparation Cook)	Pie Cutter	Peeler
44-45	Retail Trade	452900	Other General Merchandise Stores	Cashiers	"406,360"	Ticket Seller	Ticket Dispatcher	Ticket Clerk	Ticket Agent	Teller	Store Clerk Checker	Store Clerk Cashier	Station Cashier	Snack Bar Cashier	Sheet Writer
44-45	Retail Trade	444100	Building Material and Supplies Dealers	Retail Salespersons	"405,370"	Yard Goods Salesperson	Women's Apparel Salesperson	Women's Apparel and Accessories Salesperson	Wigs Salesperson	Wig Sales Consultant	Wardrobe Image Consultant	Wallpaper Consultant	Vendette	Used Car Salesperson	Trailers and Motor Homes Salesperson
23	Construction	238200	Building Equipment Contractors	Electricians	"380,900"	Wiring Mechanic	Wirer	Wire Hanger	Trouble Shooter I	Traffic Signal Technician	Traffic Signal Mechanic	Test Worker	Test Man	Television Antenna Installer	Switchboard Installer
54	"Professional, Scientific, and Technical Services"	541100	Legal Services	Lawyers	"374,950"	Trial Lawyer	Trial Attorney	Title Lawyer	Title Attorney	Tax Lawyer	Tax Attorney	Tax Agent	Tariff Counsel	Staff Counsel	Staff Attorney
72	Accommodation and Food Services	722500	Restaurants and Other Eating Places	Dishwashers	"368,230"	Utility Aide	Tray Room Worker	Tray Line Worker	Stewarding Supervisor	Silverware Cleaner	Silver Wrapper	Silver Cleaner	Scullion	Pot Washer	Pan Washer
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	622100	"General Medical and Surgical Hospitals (including private, state, and local government hospitals)"	Nursing Assistants	"349,650"	Ward Helper	Ward Attendant	Ward Aide	Surgical Aide	Student Nurse	State Tested Nursing Assistant (STNA)	Practical Nurse	Patient Sitter	Patient Care Associate	Nursing Technician
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621100	Offices of Physicians	Medical Assistants	"337,690"	Visual Training Aide	Vein Access Technician	Surgery Scheduler	Sterile Processing Technician	Sleep Technician	Respiratory Therapist Assistant	Registered Medical Assistant (RMA)	Podiatrist Assistant	Podiatric Assistant	Podiatric Aide
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621600	Home Health Care Services	Home Health Aides	"332,480"	State Tested Nursing Assistant (STNA)	Residential Counselor	Residential Aide	Resident Care Aide	Patient Service Representative	Nursing Assistant	Nurse's Companion	Licensed Nursing Assistant (LNA)	Independent Living Specialist	In Home Caregiver
61	"Educational Services (including private, state, and local government schools)"	611100	"Elementary and Secondary Schools (including private, state, and local government schools)"	"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"	"323,940"	Janitor and Cleaner	Janitor	Institutional Custodian	Industrial Sweeper-Cleaner	Industrial Plant Custodian	Industrial Cleaner	Hydroelectric Plant Maintainer	Hospital Cleaner	Home Restoration Service Cleaner	Hired Worker
54	"Professional, Scientific, and Technical Services"	541200	"Accounting, Tax Preparation, Bookkeeping, and Payroll Services"	Accountants and Auditors	"323,180"	Tax Accountant	Payroll Auditor	Internal Auditor	Fund Accountant	Financial Auditor	Financial Accountant	Field Auditor	Cost Accountant	Certified Public Accountant	Auditor-In-Charge
72	Accommodation and Food Services	722500	Restaurants and Other Eating Places	"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"	"320,080"	Tearoom Hostess	Tearoom Host/Hostess	Tearoom Host	Server	Party Host/Hostess	Parlor Chaperone	Maitre D'	Hostess	Host Coordinator	Host
81	"Other Services (except Federal, State, and Local Government)"	812100	Personal Care Services	"Hairdressers, Hairstylists, and Cosmetologists"	"318,890"	Wig Stylist	Wig Dresser	Wedding Makeup Artist	Trichologist	Stylist	Salon Manager	Nail Technician	Mortuary Beautician	Men's Custom Hair Piece Consultant	Manager Stylist
48-49	Transportation and Warehousing	491100	Postal Service (federal government)	Postal Service Mail Carriers	"307,480"	USPS Letter Carrier (United States Postal Service Letter Carrier)	Special Delivery Messenger	Special Delivery Mail Carrier	Rural Route Mail Carrier	Rural Route Carrier	Rural Mail Carrier	Rural Letter Carrier	Rural Carrier Associate (RCA)	Route Carrier	Postman
44-45	Retail Trade	451100	"Sporting Goods, Hobby, and Musical Instrument Stores"	Retail Salespersons	"307,310"	Yard Goods Salesperson	Women's Apparel Salesperson	Women's Apparel and Accessories Salesperson	Wigs Salesperson	Wig Sales Consultant	Wardrobe Image Consultant	Wallpaper Consultant	Vendette	Used Car Salesperson	Trailers and Motor Homes Salesperson
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621600	Home Health Care Services	Personal Care Aides	"293,930"	Support Staff	State Tested Nursing Assistant (STNA)	Sitter	Resident Care Assistant (RCA)	Resident Assistant	Provider	Personal Support Worker	Personal Care Attendant (PCA)	Personal Care Assistant (PCA)	Personal Care Aide
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	624400	Child Day Care Services	Childcare Workers	"288,830"	Toddler Teacher	Teacher Assistant	Teacher	School Childcare Attendant	School Bus Monitor	School Bus Attendant	School Bus Aide	Preschool Teacher	Preschool Assistant	Preschool Aide
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621200	Offices of Dentists	Dental Assistants	"282,440"	Surgical Dental Assistant	Registered Dental Assistant (RDA)	Orthodontist Assistant	Orthodontic Technician	Orthodontic Assistant (Ortho Assistant)	Oral Surgery Assistant	Expanded Function Dental Assistant	Expanded Duty Dental Assistant (EDDA)	Dentist Attendant	Dental Office Manager
99	"Federal, State, and Local Government (OES Designation)"	999300	"Local Government, excluding schools and hospitals (OES Designation)"	Firefighters	"275,240"	Wildland Firefighter	Smoke Jumper	Municipal Firefighter	Marine Firefighter	Forest Firefighter	Fire Fighter	Fire Equipment Operator	Fire Engine Pump Operator		
44-45	Retail Trade	452900	Other General Merchandise Stores	Stock Clerks and Order Fillers	"270,140"	Warehouse Stocker	Warehouse Clerk	Tool Crib Attendant	Supply Room Clerk	Supply Clerk	Store Stocker	Stockroom Clerk	Stockroom Attendant	Retail Stocker	Night Stocker
72	Accommodation and Food Services	722500	Restaurants and Other Eating Places	Dining Room and Cafeteria Attendants and Bartender Helpers	"263,270"	Water Carrier	Water Attendant	Tray Setter	Silver Wrapper	Silver Steward	Shift Manager	Server Assistant	Server	Restaurant Worker	Nutrition Aide
72	Accommodation and Food Services	722500	Restaurants and Other Eating Places	Cashiers	"260,000"	Ticket Seller	Ticket Dispatcher	Ticket Clerk	Ticket Agent	Teller	Store Clerk Checker	Store Clerk Cashier	Station Cashier	Snack Bar Cashier	Sheet Writer
42	Wholesale Trade	425100	Wholesale Electronic Markets and Agents and Brokers	"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"	"251,610"	Writing and Marking Pens Sales Representative	Wool Merchant	Women's and Girls' Apparel Sales Representative	Wholesale Diamond Broker	Wholesale Account Executive	Water Softening Equipment Sales Representative	Videotape Sales Representative	Vice President Sales	Vending and Coin Machines Sales Representative	Uniforms Sales Representative
52	Finance and Insurance	524200	"Agencies, Brokerages, and Other Insurance Related Activities"	Insurance Sales Agents	"250,230"	Underwriting Sales Representative	Surety Bond Agent	Strategic Account Executive	Solicitor	Service Representative	Selling Underwriter	Sales Specialist	Sales Special Agent	Sales Representative	Sales Associate
44-45	Retail Trade	441100	Automobile Dealers	Retail Salespersons	"245,370"	Yard Goods Salesperson	Women's Apparel Salesperson	Women's Apparel and Accessories Salesperson	Wigs Salesperson	Wig Sales Consultant	Wardrobe Image Consultant	Wallpaper Consultant	Vendette	Used Car Salesperson	Trailers and Motor Homes Salesperson
23	Construction	238200	Building Equipment Contractors	"Plumbers, Pipefitters, and Steamfitters"	"242,720"	Water Pump Installer	Sprinkler Fitter	Solar Thermal Installer	Master Plumber	Marine Steamfitter	Marine Pipefitter	Industrial Gas Fitter	Hydraulic Plumber	Gas Plumber	Gas Main Fitter
56	Administrative and Support and Waste Management and Remediation Services	561400	Business Support Services	Customer Service Representatives	"234,540"	Warranty Manager	Warranty Clerk	Warranty Administrator	Verifying Specialist	Utility Bill Complaints Investigator	Utilities Customer Service Representative	Trouble Clerk	Tire Adjuster	Telephone Service Adviser	Service Writer
99	"Federal, State, and Local Government (OES Designation)"	999200	"State Government, excluding schools and hospitals (OES Designation)"	Correctional Officers and Jailers	"232,350"	Youth Corrections Officer	Turnkey	Security Officer	Security Guard	Reformatory Attendant	Public Safety Officer	Prison Officer	Prison Guard	Police Officer	Police Matron
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	624400	Child Day Care Services	"Preschool Teachers, Except Special Education"	"230,620"	Toddler Teacher	Toddler Guide	Teacher Assistant	Teacher Aide	Teacher	Preschool Teacher	Prekindergarten Teacher	Pre-School Teacher	Pre-Kindergarten Teacher (Pre-K Teacher)	Nursery Teacher
48-49	Transportation and Warehousing	484200	Specialized Freight Trucking	Heavy and Tractor-Trailer Truck Drivers	"227,590"	Yard Spotter	Wrecking Car Driver	Wrecker Operator	Wrecker Driver	Water Truck Driver	Waste Collection Driver	Van Driver	UPS Driver (United Parcel Service Driver)	Truck Switcher	Truck Jumper
81	"Other Services (except Federal, State, and Local Government)"	811100	Automotive Repair and Maintenance	Automotive Service Technicians and Mechanics	"225,500"	Motor Tune-Up Specialist	Hybrid Car Mechanic	Automotive Specialty Technician	Automotive Fuel Systems Converter	Automotive Fuel Injection Servicer	Automotive Brake Technician	Automotive Brake Specialist	Automotive Brake Adjuster	Automotive Alignment Specialist	Auto Transmission Specialist
44-45	Retail Trade	443100	Electronics and Appliance Stores	Retail Salespersons	"223,400"	Yard Goods Salesperson	Women's Apparel Salesperson	Women's Apparel and Accessories Salesperson	Wigs Salesperson	Wig Sales Consultant	Wardrobe Image Consultant	Wallpaper Consultant	Vendette	Used Car Salesperson	Trailers and Motor Homes Salesperson
61	"Educational Services (including private, state, and local government schools)"	611100	"Elementary and Secondary Schools (including private, state, and local government schools)"	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"	"222,220"	Virtual Office Assistant	Typing Secretary	Trust Operations Assistant	Stenographer Secretary	Statistical Secretary	Staff Assistant	Social Secretary	Service Secretary	Senior Office Support Assistant SOSA	Senior Administrator Support
54	"Professional, Scientific, and Technical Services"	541500	Computer Systems Design and Related Services	"Software Developers, Applications"	"222,110"	Windows Software Engineer	Video Game Engineer	User Interface Designer	Usability Engineer	Test Engineer	Technical Support Engineer	Technical Consultant	Systems Analyst Programmer	Systems Analyst	Systems Administrator
72	Accommodation and Food Services	721100	Traveler Accommodation	"Hotel, Motel, and Resort Desk Clerks"	"221,590"	Welcome Desk Agent	Select Guest Coordinator	Room Clerk	Reservationist	Register Clerk	Night Auditor	Motel Front Desk Attendant	Motel Desk Clerk	Motel Clerk	Hotel Reservation Agent
61	"Educational Services (including private, state, and local government schools)"	611100	"Elementary and Secondary Schools (including private, state, and local government schools)"	"Education Administrators, Elementary and Secondary School"	"221,490"	Vocational-Technical Education Director	Vocational Training Director	Vice Principal	Transition Specialist	Title I Director	Testing Coordinator	Team Coordinator	Teacher	Superintendent of Schools	Superintendent
44-45	Retail Trade	452100	Department Stores	Stock Clerks and Order Fillers	"219,030"	Warehouse Stocker	Warehouse Clerk	Tool Crib Attendant	Supply Room Clerk	Supply Clerk	Store Stocker	Stockroom Clerk	Stockroom Attendant	Retail Stocker	Night Stocker
61	"Educational Services (including private, state, and local government schools)"	611100	"Elementary and Secondary Schools (including private, state, and local government schools)"	"Bus Drivers, School or Special Client"	"218,670"	Van Driver	Special Needs Bus Driver	Special Education Bus Driver	Special Client Bus Driver	Shuttle Bus Driver	School Transportation Supervisor	School Transportation Director	School Bus Operator	School Bus Driver/Teacher Assistant	School Bus Driver/Mechanic
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	623100	Nursing Care Facilities (Skilled Nursing Facilities)	Licensed Practical and Licensed Vocational Nurses	"213,160"	Triage Licensed Practical Nurse (TRIAGE LPN)	Private Duty Nurse	Pediatric Licensed Practical Nurse (PEDIATRIC LPN)	Office Nurse	Nursing Technician	Licensed Vocational Nurse (LVN)	"Licensed Practical Nurse, Clinic Nurse (LPN, Clinic Nurse)"	Licensed Practical Nurse (LPN)	Home Health Care Provider	Clinic Nurse
11	"Agriculture, Forestry, Fishing and Hunting"	115100	Support Activities for Crop Production	"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"	"210,600"	Vineyard Tender	Pepper Picker	Pecan Gatherer	Orchard Worker	Orchard Hand	Harvester	Harvest Worker	Greenhouse Transplanter	Flower Picker	Crop Picker
44-45	Retail Trade	441100	Automobile Dealers	Automotive Service Technicians and Mechanics	"208,380"	Motor Tune-Up Specialist	Hybrid Car Mechanic	Automotive Specialty Technician	Automotive Fuel Systems Converter	Automotive Fuel Injection Servicer	Automotive Brake Technician	Automotive Brake Specialist	Automotive Brake Adjuster	Automotive Alignment Specialist	Auto Transmission Specialist
54	"Professional, Scientific, and Technical Services"	541100	Legal Services	Paralegals and Legal Assistants	"202,930"	Title Curator	Summer Law Associate	Summer Clerk	Staff Attorney	Research Attorney	Research Analyst	Real Estate Paralegal	Real Estate Closer	Probate Paralegal	Principal Law Clerk
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621100	Offices of Physicians	Receptionists and Information Clerks	"195,550"	Utility Clerk	Unit Assistant	Tourist Information Assistant	Telephone Quotation Clerk	Telephone Operator Receptionist	Telephone Information Clerk	Telephone Clerk	Telephone Appointment Clerk	Telephone Answerer	Space Scheduler
44-45	Retail Trade	452100	Department Stores	Cashiers	"194,660"	Ticket Seller	Ticket Dispatcher	Ticket Clerk	Ticket Agent	Teller	Store Clerk Checker	Store Clerk Cashier	Station Cashier	Snack Bar Cashier	Sheet Writer
44-45	Retail Trade	446100	Health and Personal Care Stores	Pharmacy Technicians	"192,500"	"Technician, Inventory Specialist"	Technician	Senior Pharmacy Technician	Pharmacy Technologist	Pharmacy Technician (Pharmacy Tech)	Pharmacy Laboratory Technician	Pharmacist Technician	Pharmacist Assistant	Lead Pharmacy Technician (Lead Pharmacy Tech)	"Lead Pharmacy Tech, Certified Pharmacy Technician (Lead Pharmacy Tech, CPhT)"
61	"Educational Services (including private, state, and local government schools)"	611100	"Elementary and Secondary Schools (including private, state, and local government schools)"	"Special Education Teachers, Kindergarten and Elementary School"	"191,450"	Visually Impaired Teacher	Varying Exceptionalities Teacher	Teacher of the Speech and Hearing Handicapped	Teacher of the Handicapped	Teacher	Speech-Language Pathologist	Speech Language Pathologist	Special Needs Teacher	Special Educator	Special Education Teacher of Multi-Handicapped Students
54	"Professional, Scientific, and Technical Services"	541100	Legal Services	Legal Secretaries	"190,660"	Secretary	Paralegal Secretary	Paralegal	Magistrate Assistant	Litigation Assistant	Legal Secretary	Legal Assistant	Legal Administrative Secretary	Legal Administrative Assistant	Law Secretary
44-45	Retail Trade	446100	Health and Personal Care Stores	Cashiers	"185,690"	Ticket Seller	Ticket Dispatcher	Ticket Clerk	Ticket Agent	Teller	Store Clerk Checker	Store Clerk Cashier	Station Cashier	Snack Bar Cashier	Sheet Writer
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621200	Offices of Dentists	Dental Hygienists	"183,380"	"Registered Dental Hygienist, Part Time Clinical Faculty"	Registered Dental Hygienist (RDH)	Pediatric Dental Hygienist	Oral Hygienist	Implant Coordinator	Hygienist	Education Coordinator	Dental Nurse	"Dental Hygienist, Mobile Coordinator"	Dental Hygienist
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621100	Offices of Physicians	Medical Secretaries	"182,390"	Ward Secretary	Ward Clerk	Verification Specialist	Unit Support Representative	Unit Secretary	Surgery Scheduler	Psychiatric Secretary	Physician Office Specialist	Patient Coordinator	Patient Account Representative
48-49	Transportation and Warehousing	493100	Warehousing and Storage	"Laborers and Freight, Stock, and Material Movers, Hand"	"180,180"	Yeast Pusher	Yardman	Yard Person	Yard Laborer	Yard Cleaner	Wrecker	Wood Sawyer	Wood Cutter	Wood Chopper	Wheeler
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621100	Offices of Physicians	Registered Nurses	"178,810"	X Ray Nurse	Ward Supervisor	Ward Nurse	Visiting Nurse	Triage Register Nurse	Traveling Nurse	Trauma Nurse	Transverse Abdominal Muscle Nurse (TRAM Nurse)	Telephone Triage Nurse	Surgical Supervisor
23	Construction	238200	Building Equipment Contractors	"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"	"177,580"	Stoker Installer	Refrigeration Systems Installer	Oil Furnace Installer	Oil Burner Repairer	"Heating, Ventilation, and Air Conditioning Mechanic"	Gas Furnace Installer	Furnace Fitter	Furnace Converter	Evaporative Cooler Installer	Bulk Cooler Installer
23	Construction	236100	Residential Building Construction	Carpenters	"176,260"	Wood Floor Layer	House Carpenter	Hardwood Floor Installer	Finish Carpenter	Custom Wood Stair Builder	Counter Installer	Construction Carpenter	Building Carpenter	Beam Builder	
99	"Federal, State, and Local Government (OES Designation)"	999300	"Local Government, excluding schools and hospitals (OES Designation)"	"Office Clerks, General"	"174,480"	Yard Clerk	Wrong Address Clerk	Weather Clerk	Ward Clerk	Utility Worker	Unit Clerk	Underwriting Clerk	Typist	"Typing, Filing, Answering Phones Office Helper"	Trip Follower
56	Administrative and Support and Waste Management and Remediation Services	561300	Employment Services	"Office Clerks, General"	"174,160"	Yard Clerk	Wrong Address Clerk	Weather Clerk	Ward Clerk	Utility Worker	Unit Clerk	Underwriting Clerk	Typist	"Typing, Filing, Answering Phones Office Helper"	Trip Follower
56	Administrative and Support and Waste Management and Remediation Services	561300	Employment Services	Team Assemblers	"172,390"	Welder	Tiedown Operator	Team Automobile Assembler	Team Assembly Line Machine Operator	Team Assembler	Sub-Assembly Team Worker	Respooler	Repairer	Quality Control Associate	Production Technologist
44-45	Retail Trade	452900	Other General Merchandise Stores	First-Line Supervisors of Retail Sales Workers	"171,570"	Vending Stand Supervisor	Used Car Sales Supervisor	Tobacconist	Supervisor	Supermarket Manager	Storekeeper	Store Manager	Stock Manager	Stationer	Station Manager
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621600	Home Health Care Services	Registered Nurses	"166,910"	X Ray Nurse	Ward Supervisor	Ward Nurse	Visiting Nurse	Triage Register Nurse	Traveling Nurse	Trauma Nurse	Transverse Abdominal Muscle Nurse (TRAM Nurse)	Telephone Triage Nurse	Surgical Supervisor
99	"Federal, State, and Local Government (OES Designation)"	999100	Federal Executive Branch (OES Designation)	"Business Operations Specialists, All Other"	"164,100"	Veterans Contact Representative	Utilization Coordinator	Travel Accommodations Rater	Traffic Personnel Supervisor	Technical Consultant	Tariff Publishing Agent	Staff Assistant	Special Service Officer	Special Agent	Social Security Specialist
72	Accommodation and Food Services	722400	Drinking Places (Alcoholic Beverages)	Bartenders	"161,240"	Waitress	Taproom Attendant	Server	Mixologist	Drink Mixer	Bartender Server	Bartender Extra	Bartender	Barman	Barmaid
99	"Federal, State, and Local Government (OES Designation)"	999300	"Local Government, excluding schools and hospitals (OES Designation)"	Correctional Officers and Jailers	"160,980"	Youth Corrections Officer	Turnkey	Security Officer	Security Guard	Reformatory Attendant	Public Safety Officer	Prison Officer	Prison Guard	Police Officer	Police Matron
